SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
344,18.432,36,10,none,7.5,400,4851,12.1275,270,263,0.974074,0.925893,0.899201,0.884118,0.867097,0.805271,0.739701,0.739701,0.739701,0.739701,0.325131
345,17.92,35,10,none,7.5,400,4577,11.4425,248,235,0.947581,0.927289,0.890299,0.863198,0.837511,0.773331,0.696439,0.696439,0.696439,0.696439,0.325224
346,16.384,32,10,none,7.5,400,4587,11.4675,252,239,0.948413,0.931159,0.896893,0.863006,0.838326,0.777937,0.707453,0.707453,0.707453,0.707453,0.325261
347,18.432,36,10,none,7.5,400,4598,11.495,278,271,0.97482,0.916065,0.881988,0.867833,0.839031,0.785921,0.70562,0.70562,0.70562,0.70562,0.325413
348,17.92,35,10,none,7.5,400,4576,11.44,298,286,0.959732,0.899026,0.866438,0.859746,0.83463,0.789031,0.712017,0.712017,0.712017,0.712017,0.32543
349,15.36,30,10,none,7.5,400,4876,12.19,328,321,0.978659,0.953263,0.930203,0.911404,0.8845,0.839522,0.759265,0.759265,0.759265,0.759265,0.325638
350,15.36,30,10,none,7.5,400,4853,12.1325,320,305,0.953125,0.936411,0.91201,0.899306,0.883906,0.837793,0.76174,0.76174,0.76174,0.76174,0.325708
351,12.8,25,10,none,7.5,400,4887,12.2175,310,297,0.958065,0.934783,0.912646,0.900805,0.891151,0.843076,0.770577,0.770577,0.770577,0.770577,0.325955
352,10.752,21,10,none,7.5,400,4781,11.9525,334,322,0.964072,0.911712,0.887938,0.877945,0.86047,0.81686,0.761874,0.761874,0.761874,0.761874,0.326015
353,17.408,34,10,none,7.5,400,4686,11.715,328,317,0.966463,0.933945,0.902192,0.888607,0.865315,0.808946,0.74507,0.74507,0.74507,0.74507,0.326135
354,19.968,39,10,none,7.5,400,4572,11.43,320,306,0.95625,0.903915,0.864865,0.85304,0.835402,0.780143,0.722873,0.722873,0.722873,0.722873,0.326112
