SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
75,18.432,36,10,none,7.5,400,5125,12.8125,532,447,0.840226,0.804079,0.771486,0.754571,0.734475,0.708208,0.665714,0.665714,0.665714,0.665714,0.46235
76,17.408,34,10,none,7.5,400,4770,11.925,624,530,0.849359,0.806797,0.763587,0.733208,0.702011,0.667214,0.623431,0.623431,0.623431,0.623431,0.466944
77,17.92,35,10,none,7.5,400,5025,12.5625,645,510,0.790698,0.775325,0.75447,0.742424,0.730924,0.705082,0.657199,0.657199,0.657199,0.657199,0.465864
78,18.432,36,10,none,7.5,400,5120,12.8,564,513,0.909574,0.835784,0.794324,0.770046,0.74314,0.719127,0.675961,0.675961,0.675961,0.675961,0.46681
79,17.408,34,10,none,7.5,400,5226,13.065,583,528,0.90566,0.861932,0.815642,0.798949,0.771345,0.741784,0.69423,0.69423,0.69423,0.69423,0.465624
80,16.384,32,10,none,7.5,400,4777,11.9425,602,506,0.840532,0.784746,0.751254,0.735136,0.711664,0.687159,0.635904,0.635904,0.635904,0.635904,0.46547
81,17.92,35,10,none,7.5,400,5359,13.3975,578,528,0.913495,0.867325,0.838099,0.818139,0.793887,0.768399,0.725291,0.725291,0.725291,0.725291,0.46455
82,17.92,35,10,none,7.5,400,5113,12.7825,596,517,0.86745,0.812954,0.799859,0.784049,0.759972,0.733615,0.693299,0.693299,0.693299,0.693299,0.463592
83,18.432,36,10,none,7.5,400,5262,13.155,613,549,0.895595,0.865169,0.840014,0.814397,0.783241,0.761153,0.716757,0.716757,0.716757,0.716757,0.462361
84,18.432,36,10,none,7.5,400,5021,12.5525,578,482,0.83391,0.800768,0.786054,0.767817,0.753628,0.728659,0.682721,0.682721,0.682721,0.682721,0.461048
85,18.432,36,10,none,7.5,400,5000,12.5,593,491,0.827993,0.794444,0.779145,0.758721,0.743046,0.720401,0.67944,0.67944,0.67944,0.67944,0.459856
86,18.432,36,10,none,7.5,400,5056,12.64,538,474,0.881041,0.822121,0.786907,0.758254,0.745944,0.725543,0.684874,0.684874,0.684874,0.684874,0.458655
87,17.92,35,10,none,7.5,400,5023,12.5575,494,430,0.870445,0.815494,0.789145,0.758377,0.742828,0.717125,0.674909,0.674909,0.674909,0.674909,0.457539
88,16.384,32,10,none,7.5,400,5044,12.61,434,386,0.889401,0.816808,0.787414,0.760097,0.743295,0.713476,0.6761,0.6761,0.6761,0.6761,0.457568
89,16.384,32,10,none,7.5,400,5101,12.7525,414,371,0.896135,0.81099,0.77619,0.759292,0.743544,0.719802,0.672159,0.672159,0.672159,0.672159,0.457107
