SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
86,18.432,36,10,none,7.5,400,0,0,538,0,0,0,0,0,0,0,0,0,0,0,1712.84
87,18.432,36,10,none,7.5,400,0,0,494,0,0,0,0,0,0,0,0,0,0,0,1690.76
88,20.48,40,10,none,7.5,400,0,0,434,0,0,0,0,0,0,0,0,0,0,0,1676.38
89,20.48,40,10,none,7.5,400,0,0,414,0,0,0,0,0,0,0,0,0,0,0,1665.33
90,19.968,39,10,none,7.5,400,0,0,372,0,0,0,0,0,0,0,0,0,0,0,1648.91
91,20.48,40,10,none,7.5,400,0,0,367,0,0,0,0,0,0,0,0,0,0,0,1640.75
92,20.48,40,10,none,7.5,400,0,0,376,0,0,0,0,0,0,0,0,0,0,0,1632.43
93,20.48,40,10,none,7.5,400,0,0,396,0,0,0,0,0,0,0,0,0,0,0,1624.54
94,20.48,40,10,none,7.5,400,0,0,447,0,0,0,0,0,0,0,0,0,0,0,1616.72
95,20.48,40,10,none,7.5,400,0,0,404,0,0,0,0,0,0,0,0,0,0,0,1608.78
96,20.48,40,10,none,7.5,400,0,0,474,0,0,0,0,0,0,0,0,0,0,0,1599.2
97,20.48,40,10,none,7.5,400,0,0,470,0,0,0,0,0,0,0,0,0,0,0,1591.44
98,20.48,40,10,none,7.5,400,0,0,442,0,0,0,0,0,0,0,0,0,0,0,1583.83
99,20.48,40,10,none,7.5,400,0,0,370,0,0,0,0,0,0,0,0,0,0,0,1576.4
100,20.48,40,10,none,7.5,400,0,0,303,0,0,0,0,0,0,0,0,0,0,0,1567.1
101,20.48,40,10,none,7.5,400,0,0,272,0,0,0,0,0,0,0,0,0,0,0,1556.74
102,18.944,37,10,none,7.5,400,0,0,292,0,0,0,0,0,0,0,0,0,0,0,1545.89
103,18.432,36,10,none,7.5,400,0,0,310,0,0,0,0,0,0,0,0,0,0,0,1532.78
104,18.432,36,10,none,7.5,400,0,0,322,0,0,0,0,0,0,0,0,0,0,0,1519.9
105,18.432,36,10,none,7.5,400,0,0,304,0,0,0,0,0,0,0,0,0,0,0,1506.59
106,18.432,36,10,none,7.5,400,0,0,310,0,0,0,0,0,0,0,0,0,0,0,1492.56
107,18.432,36,10,none,7.5,400,0,0,323,0,0,0,0,0,0,0,0,0,0,0,1478.47
108,16.896,33,10,none,7.5,400,0,0,300,0,0,0,0,0,0,0,0,0,0,0,1463.34
109,16.384,32,10,none,7.5,400,0,0,312,0,0,0,0,0,0,0,0,0,0,0,1444.04
110,16.384,32,10,none,7.5,400,0,0,252,0,0,0,0,0,0,0,0,0,0,0,1425.32
111,16.384,32,10,none,7.5,400,0,0,222,0,0,0,0,0,0,0,0,0,0,0,1406.34
112,16.384,32,10,none,7.5,400,0,0,232,0,0,0,0,0,0,0,0,0,0,0,1388.3
113,16.384,32,10,none,7.5,400,0,0,262,0,0,0,0,0,0,0,0,0,0,0,1370.49
114,17.408,34,10,none,7.5,400,0,0,292,0,0,0,0,0,0,0,0,0,0,0,1353.7
115,18.432,36,10,none,7.5,400,0,0,272,0,0,0,0,0,0,0,0,0,0,0,1341.21
116,17.92,35,10,none,7.5,400,0,0,278,0,0,0,0,0,0,0,0,0,0,0,1323.76
117,18.432,36,10,none,7.5,400,0,0,236,0,0,0,0,0,0,0,0,0,0,0,1312.82
118,18.432,36,10,none,7.5,400,0,0,222,0,0,0,0,0,0,0,0,0,0,0,1301.77
119,18.432,36,10,none,7.5,400,0,0,210,0,0,0,0,0,0,0,0,0,0,0,1289.6
120,18.432,36,10,none,7.5,400,0,0,212,0,0,0,0,0,0,0,0,0,0,0,1279.14
121,18.432,36,10,none,7.5,400,0,0,204,0,0,0,0,0,0,0,0,0,0,0,1268.42
122,17.92,35,10,none,7.5,400,0,0,176,0,0,0,0,0,0,0,0,0,0,0,1257.5
123,18.432,36,10,none,7.5,400,0,0,154,0,0,0,0,0,0,0,0,0,0,0,1246.04
124,18.944,37,10,none,7.5,400,0,0,162,0,0,0,0,0,0,0,0,0,0,0,1235.01
125,17.408,34,10,none,7.5,400,0,0,161,0,0,0,0,0,0,0,0,0,0,0,1222.3
126,18.432,36,10,none,7.5,400,0,0,172,0,0,0,0,0,0,0,0,0,0,0,1210.96
